user_id,top_game,genre,hours_played
76561198030327423,Stellaris,Strategy & MOBA,1784.6
76561198097867416,Divinity: Original Sin 2,RPG,510.9
76561198035268980,Counter-Strike 2,Shooter,516.2
76561198001236457,Dota 2,Strategy & MOBA,1652.4
76561199153701712,NARAKA: BLADEPOINT,Shooter,2387.2
76561198815597067,Hearts of Iron IV,Strategy & MOBA,3341.8
76561198151750920,VBridger,Utility / Software,1988.1
76561198046191755,Counter-Strike 2,Shooter,1987.3
76561198018201450,The Elder Scrolls Online,MMORPG,1967.9
76561198827110889,Team Fortress 2,Shooter,262.6
76561197989144828,Counter-Strike 2,Shooter,1894.0
76561198822438528,Megaquarium,Simulation,265.4
76561198445602810,Monster Hunter: World,Action / Adventure,204.3
76561198354931221,Cyberpunk 2077,Action / Adventure,260.6
76561198929334782,Terraria,Survival / Horror,231.3
76561198320118796,Starbound,Survival / Horror,336.2
76561199237351843,Squad,Shooter,895.1
76561199177729264,Counter-Strike 2,Shooter,771.2
76561198053921083,Cyberpunk 2077,Action / Adventure,196.7
76561197998568823,Factorio,Simulation,1932.4
76561198252008350,XSOverlay,Utility / Software,1778.2
76561199881472110,Queen's Loyalty,Action / Adventure,69.5
